location,date,zika_bool
Argentina-Buenos_Aires,2016-03-19,1
Argentina-CABA,2016-03-19,1
Argentina-Catamarca,2016-03-19,1
Argentina-Chaco,2016-03-19,1
Argentina-Chubut,2016-03-19,1
Argentina-Cordoba,2016-03-19,1
Argentina-Corrientes,2016-03-19,1
Argentina-Entre_Rios,2016-03-19,1
Argentina-Formosa,2016-03-19,1
Argentina-Jujuy,2016-03-19,1
Argentina-La_Pampa,2016-03-19,1
Argentina-La_Rioja,2016-03-19,1
Argentina-Mendoza,2016-03-19,1
Argentina-Misiones,2016-03-19,1
Argentina-Neuquen,2016-03-19,1
Argentina-Rio_Negro,2016-03-19,1
Argentina-Salta,2016-03-19,1
Argentina-San_Juan,2016-04-29,1
Argentina-San_Luis,2016-03-19,1
Argentina-Santa_Cruz,2016-03-19,1
Argentina-Santa_Fe,2016-03-19,1
Argentina-Sgo_Del_Estero,2016-03-19,1
Argentina-Tierra_Del_Fuego,2016-04-29,0
Argentina-Tierra_del_Fuego,2016-03-19,0
Argentina-Tucuman,2016-03-19,1
Brazil,2016-04-02,1
Brazil-Acre,2016-02-13,1
Brazil-Alagoas,2016-02-13,1
Brazil-Amapa,2016-04-02,1
Brazil-Amazonas,2016-02-27,1
Brazil-Bahia,2016-02-13,1
Brazil-Ceara,2016-02-13,1
Brazil-Distrito_Federal,2016-02-13,1
Brazil-Espirito_Santo,2016-02-13,1
Brazil-Goias,2016-02-13,1
Brazil-Maranhao,2016-02-13,1
Brazil-Mato_Grosso,2016-02-13,1
Brazil-Mato_Grosso_do_Sul,2016-02-13,1
Brazil-Minas_Gerais,2016-02-13,1
Brazil-Para,2016-02-13,1
Brazil-Paraiba,2016-02-13,1
Brazil-Parana,2016-02-13,1
Brazil-Pernambuco,2016-02-13,1
Brazil-Piaui,2016-02-13,1
Brazil-Rio_Grande_do_Norte,2016-02-13,1
Brazil-Rio_Grande_do_Sul,2016-02-13,1
Brazil-Rio_de_Janeiro,2016-02-13,1
Brazil-Rondonia,2016-02-13,1
Brazil-Roraima,2016-02-13,1
Brazil-Santa_Catarina,2016-03-05,1
Brazil-Sao_Paulo,2016-02-13,1
Brazil-Sergipe,2016-02-13,1
Brazil-Tocantins,2016-02-13,1
Centro-Oeste,2016-04-02,1
Colombia-Amazonas-El_Encanto,2016-01-09,0
Colombia-Amazonas-La_Chorrera,2016-01-09,0
Colombia-Amazonas-La_Pedrera,2016-06-18,1
Colombia-Amazonas-La_Victoria,2016-01-09,0
Colombia-Amazonas-Leticia,2016-01-09,1
Colombia-Amazonas-Miriti_Parana,2016-01-09,0
Colombia-Amazonas-Puerto_Alegria,2016-01-09,0
Colombia-Amazonas-Puerto_Arica,2016-06-18,1
Colombia-Amazonas-Puerto_Narino,2016-04-02,1
Colombia-Amazonas-Puerto_Santander,2016-01-09,0
Colombia-Amazonas-Tarapaca,2016-01-09,0
Colombia-Amazonas-Unknown,2016-01-09,1
Colombia-Antioquia-Abejorral,2016-01-16,1
Colombia-Antioquia-Abriaqui,2016-01-09,0
Colombia-Antioquia-Alejandria,2016-01-09,0
Colombia-Antioquia-Amaga,2016-01-30,1
Colombia-Antioquia-Amalfi,2016-04-09,1
Colombia-Antioquia-Andes,2016-03-26,1
Colombia-Antioquia-Angelopolis,2016-02-13,1
Colombia-Antioquia-Angostura,2016-01-09,0
Colombia-Antioquia-Anori,2016-01-09,0
Colombia-Antioquia-Anza,2016-05-07,1
Colombia-Antioquia-Apartado,2016-01-09,1
Colombia-Antioquia-Arboletes,2016-01-23,1
Colombia-Antioquia-Argelia,2016-06-18,1
Colombia-Antioquia-Armenia,2016-01-30,1
Colombia-Antioquia-Barbosa,2016-01-09,1
Colombia-Antioquia-Bello,2016-01-09,1
Colombia-Antioquia-Belmira,2016-05-28,1
Colombia-Antioquia-Betania,2016-03-26,1
Colombia-Antioquia-Betulia,2016-06-18,1
Colombia-Antioquia-Briceno,2016-01-09,0
Colombia-Antioquia-Buritica,2016-06-18,1
Colombia-Antioquia-Caceres,2016-01-30,1
Colombia-Antioquia-Caicedo,2016-06-18,1
Colombia-Antioquia-Caldas,2016-01-30,1
Colombia-Antioquia-Campamento,2016-01-09,0
Colombia-Antioquia-Canasgordas,2016-01-09,1
Colombia-Antioquia-Caracoli,2016-02-13,1
Colombia-Antioquia-Caramanta,2016-06-18,1
Colombia-Antioquia-Carepa,2016-01-09,1
Colombia-Antioquia-Carolina,2016-06-18,1
Colombia-Antioquia-Caucasia,2016-01-09,1
Colombia-Antioquia-Chigorodo,2016-01-16,1
Colombia-Antioquia-Cisneros,2016-03-05,1
Colombia-Antioquia-Ciudad_Bolivar,2016-01-09,1
Colombia-Antioquia-Cocorna,2016-01-09,1
Colombia-Antioquia-Concepcion,2016-01-09,0
Colombia-Antioquia-Concordia,2016-04-30,1
Colombia-Antioquia-Copacabana,2016-01-23,1
Colombia-Antioquia-Dabeiba,2016-02-13,1
Colombia-Antioquia-Don_Matias,2016-01-09,0
Colombia-Antioquia-Ebejico,2016-01-30,1
Colombia-Antioquia-El_Bagre,2016-01-09,1
Colombia-Antioquia-El_Carmen_De_Viboral,2016-02-06,1
Colombia-Antioquia-El_Santuario,2016-01-09,0
Colombia-Antioquia-Entrerrios,2016-06-18,1
Colombia-Antioquia-Envigado,2016-01-09,1
Colombia-Antioquia-Fredonia,2016-02-13,1
Colombia-Antioquia-Frontino,2016-05-14,1
Colombia-Antioquia-Giraldo,2016-06-18,1
Colombia-Antioquia-Girardota,2016-01-09,1
Colombia-Antioquia-Gomez_Plata,2016-06-18,1
Colombia-Antioquia-Granada,2016-01-30,1
Colombia-Antioquia-Guadalupe,2016-01-09,0
Colombia-Antioquia-Guarne,2016-03-05,1
Colombia-Antioquia-Guatape,2016-01-09,1
Colombia-Antioquia-Heliconia,2016-01-16,1
Colombia-Antioquia-Hispania,2016-01-09,1
Colombia-Antioquia-Itagui,2016-01-09,1
Colombia-Antioquia-Ituango,2016-02-13,1
Colombia-Antioquia-Jardin,2016-05-07,1
Colombia-Antioquia-Jerico,2016-03-12,1
Colombia-Antioquia-La_Ceja,2016-05-21,1
Colombia-Antioquia-La_Estrella,2016-01-23,1
Colombia-Antioquia-La_Pintada,2016-02-06,1
Colombia-Antioquia-La_Union,2016-01-16,1
Colombia-Antioquia-Liborina,2016-01-23,1
Colombia-Antioquia-Maceo,2016-01-09,1
Colombia-Antioquia-Marinilla,2016-06-11,1
Colombia-Antioquia-Medellin,2016-01-09,1
Colombia-Antioquia-Montebello,2016-05-28,1
Colombia-Antioquia-Murindo,2016-03-26,1
Colombia-Antioquia-Mutata,2016-01-09,1
Colombia-Antioquia-Narino,2016-01-30,1
Colombia-Antioquia-Nechi,2016-02-06,1
Colombia-Antioquia-Necocli,2016-01-23,1
Colombia-Antioquia-Olaya,2016-02-06,1
Colombia-Antioquia-Peque,2016-02-27,1
Colombia-Antioquia-Peðol,2016-05-28,1
Colombia-Antioquia-Pueblorrico,2016-01-09,0
Colombia-Antioquia-Puerto_Berrio,2016-01-09,1
Colombia-Antioquia-Puerto_Nare,2016-01-09,1
Colombia-Antioquia-Puerto_Triunfo,2016-01-09,1
Colombia-Antioquia-Remedios,2016-02-27,1
Colombia-Antioquia-Retiro,2016-01-09,0
Colombia-Antioquia-Rionegro,2016-01-09,1
Colombia-Antioquia-Sabanalarga,2016-01-09,1
Colombia-Antioquia-Sabaneta,2016-01-23,1
Colombia-Antioquia-Salgar,2016-01-16,1
Colombia-Antioquia-San_Andres_De_Cuerquia,2016-01-09,1
Colombia-Antioquia-San_Carlos,2016-01-09,1
Colombia-Antioquia-San_Francisco,2016-02-20,1
Colombia-Antioquia-San_Jeronimo,2016-02-20,1
Colombia-Antioquia-San_Jose_De_La_Montana,2016-01-09,0
Colombia-Antioquia-San_Juan_De_Uraba,2016-01-16,1
Colombia-Antioquia-San_Luis,2016-01-09,1
Colombia-Antioquia-San_Pedro,2016-01-23,1
Colombia-Antioquia-San_Pedro_De_Uraba,2016-01-23,1
Colombia-Antioquia-San_Rafael,2016-02-13,1
Colombia-Antioquia-San_Roque,2016-02-06,1
Colombia-Antioquia-San_Vicente,2016-01-09,0
Colombia-Antioquia-Santa_Barbara,2016-03-26,1
Colombia-Antioquia-Santa_Rosa_De_Osos,2016-01-09,0
Colombia-Antioquia-Santafe_De_Antioquia,2016-01-23,1
Colombia-Antioquia-Santo_Domingo,2016-05-28,1
Colombia-Antioquia-Segovia,2016-03-05,1
Colombia-Antioquia-Sonson,2016-02-27,1
Colombia-Antioquia-Sopetran,2016-01-30,1
Colombia-Antioquia-Tamesis,2016-01-09,0
Colombia-Antioquia-Taraza,2016-01-09,1
Colombia-Antioquia-Tarso,2016-01-09,0
Colombia-Antioquia-Titiribi,2016-01-09,0
Colombia-Antioquia-Toledo,2016-02-20,1
Colombia-Antioquia-Turbo,2016-01-09,1
Colombia-Antioquia-Unknown,2016-01-09,1
Colombia-Antioquia-Uramita,2016-01-09,1
Colombia-Antioquia-Urrao,2016-03-05,1
Colombia-Antioquia-Valdivia,2016-04-02,1
Colombia-Antioquia-Valparaiso,2016-01-09,1
Colombia-Antioquia-Vegachi,2016-02-06,1
Colombia-Antioquia-Venecia,2016-02-20,1
Colombia-Antioquia-Vigia_Del_Fuerte,2016-01-09,0
Colombia-Antioquia-Yali,2016-01-09,0
Colombia-Antioquia-Yarumal,2016-02-13,1
Colombia-Antioquia-Yolombo,2016-03-05,1
Colombia-Antioquia-Yondo,2016-02-06,1
Colombia-Antioquia-Zaragoza,2016-02-06,1
Colombia-Arauca-Arauca,2016-01-09,1
Colombia-Arauca-Arauquita,2016-01-09,1
Colombia-Arauca-Cravo_Norte,2016-04-30,1
Colombia-Arauca-Fortul,2016-01-09,1
Colombia-Arauca-Puerto_Rondon,2016-04-09,1
Colombia-Arauca-Saravena,2016-01-09,1
Colombia-Arauca-Tame,2016-01-09,1
Colombia-Arauca-Unknown,2016-02-13,1
Colombia-Atlantico-Baranoa,2016-01-09,1
Colombia-Atlantico-Campo_De_La_Cruz,2016-01-16,1
Colombia-Atlantico-Candelaria,2016-01-09,1
Colombia-Atlantico-Galapa,2016-01-09,1
Colombia-Atlantico-Juan_De_Acosta,2016-01-09,1
Colombia-Atlantico-Luruaco,2016-01-09,1
Colombia-Atlantico-Malambo,2016-01-09,1
Colombia-Atlantico-Manati,2016-01-23,1
Colombia-Atlantico-Palmar_De_Varela,2016-01-09,1
Colombia-Atlantico-Piojo,2016-03-05,1
Colombia-Atlantico-Polonuevo,2016-01-09,1
Colombia-Atlantico-Ponedera,2016-01-16,1
Colombia-Atlantico-Puerto_Colombia,2016-01-09,1
Colombia-Atlantico-Repelon,2016-01-09,1
Colombia-Atlantico-Sabanagrande,2016-01-09,1
Colombia-Atlantico-Sabanalarga,2016-01-09,1
Colombia-Atlantico-Santa_Lucia,2016-01-16,1
Colombia-Atlantico-Santo_Tomas,2016-01-09,1
Colombia-Atlantico-Soledad,2016-01-09,1
Colombia-Atlantico-Suan,2016-01-16,1
Colombia-Atlantico-Tubara,2016-01-09,1
Colombia-Atlantico-Unknown,2016-01-09,1
Colombia-Atlantico-Usiacuri,2016-01-09,1
Colombia-Barranquilla-Barranquilla,2016-01-09,1
Colombia-Bogota-Barrios_Unidos_12_De_Octubre,2016-01-09,0
Colombia-Bogota-Barrios_Unidos_Los_Andes,2016-01-09,0
"Colombia-Bogota-Bogota,_D.C.",2016-01-09,1
Colombia-Bogota-Bosa_Bosa_Central,2016-01-09,0
Colombia-Bogota-Bosa_Tintal_Sur,2016-01-09,0
Colombia-Bogota-Chapinero_Chapinero,2016-01-09,0
Colombia-Bogota-Chapinero_Chico_Lago,2016-01-09,0
Colombia-Bogota-Ciudad_Bolivar_San_Francisco,2016-01-09,0
Colombia-Bogota-Engativa_Engativa,2016-01-09,0
Colombia-Bogota-Fontibon_Fontibon,2016-01-09,0
Colombia-Bogota-Kennedy_Americas,2016-01-09,0
Colombia-Bogota-Kennedy_Kennedy_Central,2016-01-09,0
Colombia-Bogota-La_Candelaria_La_Candelaria,2016-01-09,0
Colombia-Bogota-Puente_Aranda_San_Rafael,2016-01-09,0
Colombia-Bogota-San_Cristobal_Sociego,2016-01-09,0
Colombia-Bogota-Teusaquillo_Ciudad_Salitre_Oriental,2016-01-09,0
Colombia-Bogota-Teusaquillo_La_Esmeralda,2016-01-09,0
Colombia-Bogota-Teusaquillo_Quinta_Paredes,2016-01-09,0
Colombia-Bogota-Teusaquillo_Teusaquillo,2016-01-09,0
Colombia-Bogota-Tunjuelito_Tunjuelito,2016-01-09,0
Colombia-Bogota-Tunjuelito_Venecia,2016-01-09,0
Colombia-Bogota-Usaquen_Los_Cedros,2016-01-09,0
Colombia-Bogota-Usaquen_Santa_Barbara,2016-01-09,0
Colombia-Bolivar-Achi,2016-01-23,1
Colombia-Bolivar-Altos_Del_Rosario,2016-01-09,0
Colombia-Bolivar-Arenal,2016-01-09,1
Colombia-Bolivar-Arjona,2016-01-09,1
Colombia-Bolivar-Arroyohondo,2016-03-19,1
Colombia-Bolivar-Barranco_De_Loba,2016-01-09,1
Colombia-Bolivar-Calamar,2016-01-23,1
Colombia-Bolivar-Cantagallo,2016-02-06,1
Colombia-Bolivar-Cicuco,2016-01-09,1
Colombia-Bolivar-Clemencia,2016-03-12,1
Colombia-Bolivar-Cordoba,2016-01-09,1
Colombia-Bolivar-El_Carmen_De_Bolivar,2016-01-09,1
Colombia-Bolivar-El_Guamo,2016-01-30,1
Colombia-Bolivar-El_Penon,2016-01-16,1
Colombia-Bolivar-Hatillo_De_Loba,2016-01-09,0
Colombia-Bolivar-Magangue,2016-01-09,1
Colombia-Bolivar-Mahates,2016-01-09,1
Colombia-Bolivar-Margarita,2016-02-27,1
Colombia-Bolivar-Maria_La_Baja,2016-01-09,1
Colombia-Bolivar-Mompos,2016-01-09,1
Colombia-Bolivar-Montecristo,2016-01-30,1
Colombia-Bolivar-Morales,2016-01-23,1
Colombia-Bolivar-Norosi,2016-01-09,1
Colombia-Bolivar-Pinillos,2016-01-23,1
Colombia-Bolivar-Regidor,2016-02-27,1
Colombia-Bolivar-Rio_Viejo,2016-01-09,1
Colombia-Bolivar-San_Cristobal,2016-02-20,1
Colombia-Bolivar-San_Estanislao,2016-02-13,1
Colombia-Bolivar-San_Fernando,2016-01-09,1
Colombia-Bolivar-San_Jacinto,2016-01-09,1
Colombia-Bolivar-San_Jacinto_Del_Cauca,2016-02-13,1
Colombia-Bolivar-San_Juan_Nepomuceno,2016-01-09,1
Colombia-Bolivar-San_Martin_De_Loba,2016-02-13,1
Colombia-Bolivar-San_Pablo,2016-03-05,1
Colombia-Bolivar-Santa_Catalina,2016-01-23,1
Colombia-Bolivar-Santa_Rosa,2016-01-09,1
Colombia-Bolivar-Santa_Rosa_Del_Sur,2016-01-09,1
Colombia-Bolivar-Simiti,2016-06-25,1
Colombia-Bolivar-Soplaviento,2016-01-09,1
Colombia-Bolivar-Talaigua_Nuevo,2016-01-30,1
Colombia-Bolivar-Tiquisio,2016-02-27,1
Colombia-Bolivar-Turbaco,2016-01-09,1
Colombia-Bolivar-Turbana,2016-01-09,1
Colombia-Bolivar-Unknown,2016-01-09,1
Colombia-Bolivar-Villanueva,2016-01-09,1
Colombia-Bolivar-Zambrano,2016-01-09,0
Colombia-Boyaca-Almeida,2016-01-09,0
Colombia-Boyaca-Aquitania,2016-01-09,0
Colombia-Boyaca-Arcabuco,2016-01-09,0
Colombia-Boyaca-Belen,2016-06-18,1
Colombia-Boyaca-Berbeo,2016-01-09,0
Colombia-Boyaca-Beteitiva,2016-01-30,1
Colombia-Boyaca-Boavita,2016-03-05,1
Colombia-Boyaca-Boyaca,2016-04-16,1
Colombia-Boyaca-Briceno,2016-01-09,0
Colombia-Boyaca-Buenavista,2016-03-12,1
Colombia-Boyaca-Busbanza,2016-01-09,0
Colombia-Boyaca-Caldas,2016-01-09,0
Colombia-Boyaca-Campohermoso,2016-01-09,1
Colombia-Boyaca-Cerinza,2016-01-09,0
Colombia-Boyaca-Chinavita,2016-01-09,0
Colombia-Boyaca-Chiquinquira,2016-01-09,1
Colombia-Boyaca-Chiquiza,2016-01-09,0
Colombia-Boyaca-Chiscas,2016-01-09,0
Colombia-Boyaca-Chita,2016-01-09,0
Colombia-Boyaca-Chitaraque,2016-01-09,1
Colombia-Boyaca-Chivata,2016-01-09,0
Colombia-Boyaca-Chivor,2016-01-09,0
Colombia-Boyaca-Cienega,2016-01-09,0
Colombia-Boyaca-Combita,2016-01-09,0
Colombia-Boyaca-Coper,2016-01-30,1
Colombia-Boyaca-Corrales,2016-01-09,0
Colombia-Boyaca-Covarachia,2016-01-09,0
Colombia-Boyaca-Cubara,2016-02-20,1
Colombia-Boyaca-Cucaita,2016-01-09,0
Colombia-Boyaca-Cuitiva,2016-01-09,0
Colombia-Boyaca-Duitama,2016-02-06,1
Colombia-Boyaca-El_Cocuy,2016-01-09,0
Colombia-Boyaca-El_Espino,2016-01-09,0
Colombia-Boyaca-Firavitoba,2016-01-09,0
Colombia-Boyaca-Floresta,2016-01-09,0
Colombia-Boyaca-Gachantiva,2016-01-09,0
Colombia-Boyaca-Gameza,2016-01-09,0
Colombia-Boyaca-Garagoa,2016-02-13,1
Colombia-Boyaca-Guacamayas,2016-01-09,0
Colombia-Boyaca-Guateque,2016-04-30,1
Colombia-Boyaca-Guayata,2016-01-09,0
Colombia-Boyaca-Guican,2016-01-09,0
Colombia-Boyaca-Iza,2016-01-09,0
Colombia-Boyaca-Jenesano,2016-01-09,0
Colombia-Boyaca-Jerico,2016-01-09,0
Colombia-Boyaca-La_Capilla,2016-01-09,0
Colombia-Boyaca-La_Uvita,2016-06-04,1
Colombia-Boyaca-La_Victoria,2016-01-09,0
Colombia-Boyaca-Labranzagrande,2016-02-27,1
Colombia-Boyaca-Macanal,2016-04-30,1
Colombia-Boyaca-Maripi,2016-04-23,1
Colombia-Boyaca-Miraflores,2016-03-12,1
Colombia-Boyaca-Mongua,2016-01-09,0
Colombia-Boyaca-Mongui,2016-01-09,0
Colombia-Boyaca-Moniquira,2016-01-23,1
Colombia-Boyaca-Motavita,2016-01-09,0
Colombia-Boyaca-Muzo,2016-01-09,1
Colombia-Boyaca-Nobsa,2016-01-09,0
Colombia-Boyaca-Nuevo_Colon,2016-02-27,1
Colombia-Boyaca-Oicata,2016-01-09,0
Colombia-Boyaca-Otanche,2016-01-09,1
Colombia-Boyaca-Pachavita,2016-01-09,0
Colombia-Boyaca-Paez,2016-01-09,1
Colombia-Boyaca-Paipa,2016-01-09,0
Colombia-Boyaca-Pajarito,2016-01-09,1
Colombia-Boyaca-Panqueba,2016-01-09,0
Colombia-Boyaca-Pauna,2016-02-06,1
Colombia-Boyaca-Paya,2016-01-09,0
Colombia-Boyaca-Paz_De_Rio,2016-01-09,0
Colombia-Boyaca-Pesca,2016-01-09,0
Colombia-Boyaca-Pisba,2016-01-09,0
Colombia-Boyaca-Puerto_Boyaca,2016-01-09,1
Colombia-Boyaca-Quipama,2016-04-02,1
Colombia-Boyaca-Ramiriqui,2016-01-09,0
Colombia-Boyaca-Raquira,2016-01-09,0
Colombia-Boyaca-Rondon,2016-01-09,0
Colombia-Boyaca-Saboya,2016-01-09,0
Colombia-Boyaca-Sachica,2016-01-30,1
Colombia-Boyaca-Samaca,2016-01-09,0
Colombia-Boyaca-San_Eduardo,2016-01-09,0
Colombia-Boyaca-San_Jose_De_Pare,2016-02-27,1
Colombia-Boyaca-San_Luis_De_Gaceno,2016-01-09,1
Colombia-Boyaca-San_Mateo,2016-01-09,0
Colombia-Boyaca-San_Miguel_De_Sema,2016-01-09,0
Colombia-Boyaca-San_Pablo_De_Borbur,2016-01-09,1
Colombia-Boyaca-Santa_Maria,2016-02-27,1
Colombia-Boyaca-Santa_Rosa_De_Viterbo,2016-01-09,0
Colombia-Boyaca-Santa_Sofia,2016-01-09,0
Colombia-Boyaca-Santana,2016-01-09,1
Colombia-Boyaca-Sativanorte,2016-01-09,0
Colombia-Boyaca-Sativasur,2016-01-09,0
Colombia-Boyaca-Siachoque,2016-01-09,0
Colombia-Boyaca-Soata,2016-02-06,1
Colombia-Boyaca-Socha,2016-01-09,0
Colombia-Boyaca-Socota,2016-03-19,1
Colombia-Boyaca-Sogamoso,2016-02-13,1
Colombia-Boyaca-Somondoco,2016-01-09,0
Colombia-Boyaca-Sora,2016-01-09,0
Colombia-Boyaca-Soraca,2016-01-09,0
Colombia-Boyaca-Sotaquira,2016-01-09,0
Colombia-Boyaca-Susacon,2016-01-09,0
Colombia-Boyaca-Sutamarchan,2016-06-11,1
Colombia-Boyaca-Sutatenza,2016-01-16,1
Colombia-Boyaca-Tasco,2016-01-09,0
Colombia-Boyaca-Tenza,2016-01-09,0
Colombia-Boyaca-Tibana,2016-01-16,1
Colombia-Boyaca-Tibasosa,2016-02-13,1
